Country,Region,Year,Cured,Deaths,Cases
India,Asia,2007,32.0,12.0,44
India,Asia,2008,83.0,40.0,123
India,Asia,2009,582.0,238.0,820
India,Asia,2010,1041.0,483.0,1524
India,Asia,2011,1679.0,765.0,2444
India,Asia,2012,6474.0,3090.0,9564
India,Asia,2013,9873.0,4709.0,14582
India,Asia,2014,10665.0,5251.0,15916
India,Asia,2015,13104.0,6213.0,19317
India,Asia,2016,16620.0,7160.0,23780
India,Asia,2017,18619.0,7429.0,26048
India,Asia,2018,27772.0,7220.0,34992
India,Asia,2019,36557.0,8633.0,45190
India,Asia,2020,33260.0,6966.0,40226
Bangladesh,Asia,2007,87.0,10.0,97
Bangladesh,Asia,2008,103.0,6.0,109
Bangladesh,Asia,2009,105.0,20.0,125
Bangladesh,Asia,2010,247.0,35.0,282
Bangladesh,Asia,2011,165.0,34.0,199
Bangladesh,Asia,2012,365.0,61.0,426
Bangladesh,Asia,2013,513.0,84.0,597
Bangladesh,Asia,2014,701.0,121.0,822
Bangladesh,Asia,2015,689.0,90.0,779
Bangladesh,Asia,2016,720.0,109.0,829
Bangladesh,Asia,2017,676.0,85.0,761
Bangladesh,Asia,2018,856.0,88.0,944
Bangladesh,Asia,2019,915.0,103.0,1018
Bangladesh,Asia,2020,734.0,110.0,844
Pakistan,Asia,2007,,,0
Pakistan,Asia,2008,,,0
Pakistan,Asia,2009,45.0,16.0,61
Pakistan,Asia,2010,142.0,30.0,172
Pakistan,Asia,2011,311.0,55.0,366
Pakistan,Asia,2012,623.0,143.0,766
Pakistan,Asia,2013,1044.0,277.0,1321
Pakistan,Asia,2014,1711.0,483.0,2194
Pakistan,Asia,2015,1652.0,479.0,2131
Pakistan,Asia,2016,1809.0,517.0,2326
Pakistan,Asia,2017,1823.0,539.0,2362
Pakistan,Asia,2018,2202.0,458.0,2660
Pakistan,Asia,2019,2105.0,479.0,2584
Pakistan,Asia,2020,1723.0,375.0,2098
Cambodia,Asia,2007,9.0,2.0,11
Cambodia,Asia,2008,28.0,6.0,34
Cambodia,Asia,2009,36.0,8.0,44
Cambodia,Asia,2010,21.0,9.0,30
Cambodia,Asia,2011,48.0,4.0,52
Cambodia,Asia,2012,87.0,13.0,100
Cambodia,Asia,2013,91.0,14.0,105
Cambodia,Asia,2014,84.0,19.0,103
Cambodia,Asia,2015,53.0,12.0,65
Cambodia,Asia,2016,65.0,25.0,90
Cambodia,Asia,2017,96.0,28.0,124
Cambodia,Asia,2018,103.0,17.0,120
Cambodia,Asia,2019,110.0,18.0,128
Cambodia,Asia,2020,100.0,17.0,117
Afghanistan,Asia,2007,,,0
Afghanistan,Asia,2008,,,0
Afghanistan,Asia,2009,,,0
Afghanistan,Asia,2010,,,0
Afghanistan,Asia,2011,14.0,2.0,16
Afghanistan,Asia,2012,27.0,6.0,33
Afghanistan,Asia,2013,29.0,6.0,35
Afghanistan,Asia,2014,56.0,10.0,66
Afghanistan,Asia,2015,53.0,14.0,67
Afghanistan,Asia,2016,95.0,21.0,116
Afghanistan,Asia,2017,126.0,24.0,150
Afghanistan,Asia,2018,225.0,33.0,258
Afghanistan,Asia,2019,282.0,34.0,316
Afghanistan,Asia,2020,258.0,36.0,294
Indonesia,Asia,2007,,,0
Indonesia,Asia,2008,,,0
Indonesia,Asia,2009,14.0,2.0,16
Indonesia,Asia,2010,101.0,18.0,119
Indonesia,Asia,2011,159.0,39.0,198
Indonesia,Asia,2012,242.0,68.0,310
Indonesia,Asia,2013,416.0,130.0,546
Indonesia,Asia,2014,646.0,229.0,875
Indonesia,Asia,2015,749.0,256.0,1005
Indonesia,Asia,2016,926.0,331.0,1257
Indonesia,Asia,2017,1380.0,570.0,1950
Indonesia,Asia,2018,2068.0,771.0,2839
Indonesia,Asia,2019,2578.0,991.0,3569
Indonesia,Asia,2020,2363.0,918.0,3281
